2,2,1,48,265900,22,14
2,2,1,11,102800,22,2
2,1,1,68.03,133700,22,10
2,1,2,50.4,133700,22,10
1,1,1,52.56,139800,22,11
1,1,2,51.8,139800,22,11
2,1,1,66.57,133700,22,10
3,1,1,66.57,159800,22,11
2,1,1,111,660443,22,1
2,1,1,100,309900,22,4
3,1,1,116,818000,22,1
2,1,1,69,200800,22,1
2,1,1,111,698000,22,4
2,1,1,82,289000,22,1
2,1,1,82,386687,22,1
1,1,1,82,299800,22,4
2,2,1,8,214000,22,1
4,2,1,8,224900,22,1
4,2,1,10,406900,22,1
2,2,1,8,289500,22,1
2,2,1,8,467000,22,1
1,1,1,102,668000,22,15
2,1,1,112,828000,22,15
2,1,2,100,239900,30,2
2,1,1,100,239900,30,2
2,1,1,62,181600,30,2
2,1,1,62,209900,30,2
1,1,2,60.5,193000,48,2
1,1,2,63.87,201200,48,2
1,1,1,83.49,201200,48,2
1,1,2,59.1,129800,48,2
1,1,1,63.13,129800,48,2
2,2,1,37.1,428000,48,5
3,2,1,37.1,279800,48,1
2,2,1,37.1,285000,48,5
2,2,2,9.41,162800,48,3
2,2,1,19.94,162800,48,3
2,2,2,27.54,165800,48,3
2,2,1,19.94,159800,48,3
2,2,1,37.1,335000,48,5
2,2,1,52.3,273800,48,4
3,2,1,37.96,335800,48,4
2,2,2,9.41,139800,48,3
2,2,1,19.27,139800,48,3
2,2,1,34,168800,48,3
2,2,1,34,229000,48,4
2,2,1,39.67,231800,48,4
2,2,1,11.69,153800,48,3
2,2,1,11.69,149800,48,3
2,2,1,11.7,159800,48,4
2,2,1,11.7,145800,48,4
2,1,2,77,199000,32,2
2,1,2,69.77,109880,32,1
1,1,2,82,248000,32,5
1,1,1,100,248000,32,5
2,1,2,67.12,129900,32,1
1,1,2,77,195900,32,2
1,1,1,100,195900,32,2
1,1,1,40.3,84900,32,1
1,1,2,29.23,84900,32,1
1,1,1,17.4,35900,32,1
1,1,2,29.23,64900,32,1
1,1,1,54.3,151800,32,1
2,2,1,19.43,129900,32,1
2,2,1,34.46,159800,32,2
2,2,2,19.43,159800,32,2
2,2,2,43.24,184900,32,1
2,2,1,19.43,123900,32,1
2,2,2,18.3,129900,32,1
